function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN-9384	195.5	178.5	67.03999999999999	191.43	59.0	6145.37	147.64	725.14	5921.49	7454.79	662.8299999999999	1038.04	1203.1	444.0
RXN-9386	1748.8200000000002	1027.2	812.54	3647.24	429.58	1679.1799999999998	2014.17	3404.75	2259.5	4343.75	3763.14	4349.88	4846.53	1967.13
RXN-9393	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9394	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9421	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9432	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9436	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9443	345.2	88.2	67.0	255.6	17.0	107.25	224.0	630.0	1101.0	519.0	591.0	924.0	1020.33	559.0
RXN-9514	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9518	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9520	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
RXN-9524	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9528	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9532	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9533	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
