# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
83df33618fecc2bf9657eb6efc4b6c34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	65.0	0.0
558ff43f706b5e53fa1af1b729195ec3	121.0	0.0	73.0	92.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e00f40aae777d64ea40b3fffbcc50e93	0.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48745dae396d4fa2c45df30f08c957fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	222.0	36.0	0.0
2b87a80fa75af76ec70efe6fdf7f97ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	97.0	0.0	0.0	0.0	0.0
7ccb6a99781543fe1c54d9d6fc945cbb	0.0	128.0	0.0	96.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16c2d1f458c3bc26a4d9f44064945fa7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	177.0	49.0	49.0
fed09582f094a821534931948c7cc76b	73.0	10.0	178.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281ca1fc044c4c3b854b6209e33e32f2	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5eb1c983b7acf7859bd0017ec815bdf7	283.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4a5295c5dfc64c78ae27fadd86fcfb6	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70b8729e8b8193ab58744455340b8929	0.0	0.0	0.0	210.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe1262cd719feb37f6ff7490fd6b3f4b	102.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ee5bd06fe3ab9869639b7dca4e76c2d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	17.0	0.0	210.0
05ae74da7b817585a25a9e5fd081ac57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0
efdd0c7dc3b3fdc811b0622df4a57a54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	145.0	0.0	0.0	0.0	0.0
25c0bf52e9a7e9d1d0f1ee6adc3beddd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	160.0	0.0	0.0
4cafb604285cc10f0b8367701c0794c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	105.0	0.0	0.0	0.0	0.0
9c8b2318cf905c5ad24e4ad5ea6e93e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0
ab2d04dca84b566229d3a8500d733c47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	47.0	0.0	0.0
aa441b803b68a586a82200873ac8d6a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	11.0	29.0	95.0	70.0	0.0
0c4fa2b69faa890623ed5ddc9835f5b0	64.0	41.0	41.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f9dfa87a2936a4f0271e5c820c52dda6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0
8b882668e9339319d9d10a8210c74e2b	142.0	0.0	8.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a2c2c3dd7bbaaa971b198fb8bb77e75	147.0	0.0	7.0	20.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a7cf173644dd948e8bdff9537af88df4	84.0	0.0	50.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5105c34c83969f28bc028cbfe8e51486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	53.0	0.0	0.0	52.0	0.0	0.0
489a25dc2f2536033621f89bcf77a446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	92.0	0.0	0.0	0.0	0.0
a92d1af7cc549a45a23d6c8cdb284d70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	99.0	63.0
e25b9f10a76da5526ee4007cea9e5687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	53.0	0.0	0.0	0.0	0.0
b6bae044b774a17b5ebec14147674dd3	0.0	79.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f5bd28b79bdf64981c92995d38151215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	31.0	0.0	125.0	0.0
33fcfa25dc7e0f2f41a74d9a13276143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	74.0	11.0	15.0	0.0	62.0
c81b7604c33b06ec018904115a92bf8d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	68.0	61.0	0.0
b058a7249686b4e3c8c7ed55788ed6ae	66.0	63.0	0.0	34.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c7977fe042a5a3cbc9e4d0b022318392	83.0	17.0	42.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d803306df8d5eb3f4f72a4d21828924b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	0.0
