run_accession	fastq_bytes	country
SRR31239570	1196370925;1252146672	Ghana: Navrongo
SRR31239575	1181419032;1234343201	Ghana: Navrongo
SRR31239577	1090872634;1128550280	Ghana: Navrongo
SRR31239584	1218168280;1262995633	Ghana: Navrongo
SRR31239588	1212956230;1244169636	Ghana: Navrongo
SRR31239593	1081128857;1113374004	Ghana: Navrongo
SRR31239596	1166738195;1217765947	Ghana: Navrongo
SRR31239597	1218742539;1312212047	Ghana: Navrongo
SRR31239599	1128641564;1171054220	Ghana: Navrongo
SRR31239601	1193283695;1252636799	Ghana: Navrongo
SRR31239603	1158100563;1202298175	Ghana: Navrongo
SRR31239604	1063683147;1116981469	Ghana: Navrongo
SRR31239609	1248335050;1280117892	Ghana: Navrongo
SRR31239620	1065368030;1116770700	Ghana: Navrongo
SRR31239622	1042665288;1101207332	Ghana: Navrongo
SRR31239625	1135629602;1175985506	Ghana: Navrongo
SRR31239626	1113244054;1155418200	Ghana: Navrongo
SRR31239631	1275738263;1352245508	Ghana: Navrongo
SRR31239632	1292045512;1365382691	Ghana: Navrongo
SRR31239636	1154015929;1222187676	Ghana: Navrongo
SRR31239639	1108836298;1164904629	Ghana: Navrongo
SRR31239642	1113352719;1182213995	Ghana: Navrongo
SRR31239926	1059549909;1120674904	South Africa: DIMAMO
SRR31239927	1330698411;1413214232	South Africa: DIMAMO
SRR31239930	1185419038;1252058367	South Africa: DIMAMO
SRR31239932	1209830506;1262029850	South Africa: DIMAMO
SRR31239934	1021912525;1067773661	South Africa: DIMAMO
SRR31239941	967820882;1021176630	South Africa: DIMAMO
SRR31239944	1035380980;1087593877	South Africa: DIMAMO
SRR31239945	1050506042;1082757795	South Africa: DIMAMO
SRR31239947	1116311074;1163143677	South Africa: DIMAMO
SRR31239949	1001675430;1024877634	South Africa: DIMAMO
SRR31239952	1046457487;1108259429	South Africa: DIMAMO
SRR31239954	1091083122;1138613453	South Africa: DIMAMO
SRR31239959	1032671118;1076617191	South Africa: DIMAMO
SRR31239960	1124140367;1186687432	South Africa: DIMAMO
SRR31239961	1284896746;1386234786	South Africa: DIMAMO
SRR31239964	1069061955;1106989671	South Africa: DIMAMO
SRR31239965	1299410854;1336279930	South Africa: DIMAMO
SRR31239968	1046092399;1085876636	South Africa: DIMAMO
SRR31239971	1057375195;1104227669	South Africa: DIMAMO
SRR31239972	987300928;1012531474	South Africa: DIMAMO
SRR31239974	1100245335;1131641979	South Africa: DIMAMO
SRR31239975	1101321705;1149307963	South Africa: DIMAMO
SRR31239978	1039184360;1108842571	South Africa: DIMAMO
SRR31239981	1046937552;1083713298	South Africa: DIMAMO
SRR31239983	1130793056;1182705767	South Africa: DIMAMO
SRR31239985	1073405693;1147446100	South Africa: DIMAMO
SRR31239986	1196577574;1244629716	South Africa: DIMAMO
SRR31239989	1203721243;1247711063	South Africa: DIMAMO
SRR31239995	1099436233;1135634436	South Africa: DIMAMO
SRR31240000	1080885464;1118219405	South Africa: DIMAMO
SRR31240001	1081966592;1115143257	South Africa: DIMAMO
SRR31240002	1197245786;1250518782	South Africa: DIMAMO
SRR31240003	1165788665;1231350070	South Africa: DIMAMO
SRR31240004	1102046302;1150996331	South Africa: DIMAMO
SRR31240009	2284910016;2438147841	South Africa: DIMAMO
SRR31240011	1223878274;1267301045	South Africa: DIMAMO
SRR31240012	1314197286;1367611226	South Africa: DIMAMO
SRR31240014	1053316813;1095711057	South Africa: DIMAMO
SRR31240016	1186590286;1218184143	South Africa: DIMAMO
SRR31240018	1212993650;1257357631	South Africa: DIMAMO
SRR31240025	1108711653;1163011597	South Africa: DIMAMO
SRR31240028	1103988510;1144090971	South Africa: DIMAMO
SRR31240032	1069179686;1110343529	South Africa: DIMAMO
SRR31240036	1082123680;1161150716	South Africa: DIMAMO
SRR31240037	1317239253;1382500172	South Africa: DIMAMO
SRR31240038	1256900477;1333623988	South Africa: DIMAMO
SRR31240041	1109544931;1176308657	South Africa: DIMAMO
SRR31240042	1703804392;1775761261	South Africa: DIMAMO
SRR31240044	1106255709;1167336390	South Africa: DIMAMO
SRR31240050	1194434518;1264135297	South Africa: DIMAMO
SRR31240054	1054840157;1141701962	South Africa: DIMAMO
SRR31240059	1063415795;1114554243	South Africa: DIMAMO
SRR31240062	1097554745;1149322427	South Africa: DIMAMO
SRR31240063	1063593036;1104143675	South Africa: DIMAMO
SRR31240067	1171755807;1198126768	South Africa: DIMAMO
SRR31240069	909209979;943470812	South Africa: DIMAMO
SRR31240071	1059952626;1117487647	South Africa: DIMAMO
SRR31240078	1175232292;1236022255	South Africa: DIMAMO
SRR31240079	1066228340;1113266837	South Africa: DIMAMO
SRR31240082	1080620537;1096761928	South Africa: DIMAMO
SRR31240085	1201325348;1238884587	South Africa: DIMAMO
SRR31240086	1280661915;1321744138	South Africa: DIMAMO
SRR31240088	1042246189;1081212779	South Africa: DIMAMO
SRR31240091	1104784755;1185319932	South Africa: DIMAMO
SRR31240093	1317788910;1357270630	South Africa: DIMAMO
SRR31240094	1161230266;1220375376	South Africa: DIMAMO
SRR31240095	1149979766;1186377375	South Africa: DIMAMO
SRR31240099	1089878314;1149688409	South Africa: DIMAMO
SRR31240100	1039885800;1091035019	South Africa: DIMAMO
SRR31240102	1102921865;1177585025	South Africa: DIMAMO
