run_accession	sample_accession	sample_alias	sample_title	country	location
SRR31227975	SAMN43550126	BF217	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227977	SAMN43550124	BF215	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227986	SAMN43550002	BF093	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227994	SAMN43549995	BF086	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227995	SAMN43549994	BF085	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227996	SAMN43549993	BF084	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228002	SAMN43549988	BF079	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228006	SAMN43549984	BF075	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228008	SAMN43549982	BF073	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228011	SAMN43549950	BF041	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228021	SAMN43550287	BF380	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228023	SAMN43550285	BF378	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228025	SAMN43550283	BF376	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228028	SAMN43550280	BF373	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228031	SAMN43550278	BF371	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228034	SAMN43550275	BF368	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228038	SAMN43550271	BF364	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228042	SAMN43550268	BF361	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228045	SAMN43550265	BF358	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228048	SAMN43550262	BF355	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228049	SAMN43550261	BF354	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228050	SAMN43550260	BF353	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228051	SAMN43549945	BF036	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228056	SAMN43550255	BF348	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228057	SAMN43550254	BF347	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228060	SAMN43550251	BF344	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228064	SAMN43550248	BF341	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228067	SAMN43550245	BF338	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228068	SAMN43550244	BF337	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228072	SAMN43550240	BF333	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228079	SAMN43550234	BF327	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228082	SAMN43550231	BF324	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228084	SAMN43549942	BF033	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228085	SAMN43550229	BF322	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228086	SAMN43550228	BF321	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228091	SAMN43550223	BF316	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228101	SAMN43550214	BF307	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228106	SAMN43549940	BF031	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228109	SAMN43550179	BF271	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228115	SAMN43550173	BF265	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228119	SAMN43549936	BF027	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228123	SAMN43550166	BF258	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228125	SAMN43550164	BF256	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228127	SAMN43550162	BF254	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228129	SAMN43550160	BF252	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228130	SAMN43549935	BF026	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228132	SAMN43550158	BF250	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228134	SAMN43550156	BF248	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228136	SAMN43550154	BF246	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228142	SAMN43550062	BF153	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228143	SAMN43550061	BF152	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228146	SAMN43550059	BF150	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228149	SAMN43550056	BF147	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228150	SAMN43550055	BF146	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228153	SAMN43550052	BF143	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228158	SAMN43550048	BF139	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228165	SAMN43550041	BF132	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228168	SAMN43550039	BF130	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228170	SAMN43550037	BF128	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
