run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378552	SAMN17250511	bftm2902	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/052/SRR13378552/SRR13378552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/052/SRR13378552/SRR13378552_2.fastq.gz
SRR13378554	SAMN17250509	bftm2804	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/054/SRR13378554/SRR13378554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/054/SRR13378554/SRR13378554_2.fastq.gz
SRR13378555	SAMN17250508	bftm2803	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/055/SRR13378555/SRR13378555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/055/SRR13378555/SRR13378555_2.fastq.gz
SRR13378556	SAMN17250507	bftm2801	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/056/SRR13378556/SRR13378556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/056/SRR13378556/SRR13378556_2.fastq.gz
SRR13378557	SAMN17250435	bftm0303	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/057/SRR13378557/SRR13378557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/057/SRR13378557/SRR13378557_2.fastq.gz
SRR13378559	SAMN17250505	bftm2702	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/059/SRR13378559/SRR13378559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/059/SRR13378559/SRR13378559_2.fastq.gz
SRR13378564	SAMN17250500	bftm2504	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/064/SRR13378564/SRR13378564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/064/SRR13378564/SRR13378564_2.fastq.gz
SRR13378567	SAMN17250497	bftm2401	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/067/SRR13378567/SRR13378567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/067/SRR13378567/SRR13378567_2.fastq.gz
SRR13378568	SAMN17250434	bftm0302	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/068/SRR13378568/SRR13378568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/068/SRR13378568/SRR13378568_2.fastq.gz
SRR13378569	SAMN17250496	bftm2304	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/069/SRR13378569/SRR13378569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/069/SRR13378569/SRR13378569_2.fastq.gz
SRR13378570	SAMN17250495	bftm2303	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/070/SRR13378570/SRR13378570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/070/SRR13378570/SRR13378570_2.fastq.gz
SRR13378574	SAMN17250491	bftm2203	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13378574/SRR13378574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13378574/SRR13378574_2.fastq.gz
